SYMBOL,SYMBOL P/E,ADJUSTED P/E
LAOPALA,21.65,21.32
RAJTV,78.60,78.60
JKTYRE,15.41,12.46
ASTRAL,68.31,66.31
NAHARSPING,43.66,43.66
NAHARPOLY,9.30,9.30
NCLIND,6.89,6.52
BALAMINES,39.61,39.61
BANSWRAS,16.35,14.05
ICRA,27.97,27.32
PHOENIXLTD,47.68,46.97
NDLVENTURE,489.46,489.46
ZENITHSTL,17.25,24.11
BFUTILITIE,7.17,7.17
FORTIS,70.02,69.09
SRHHYPOLTD,9.79,8.77
WEBELSOLAR,14.57,14.54
TGBHOTELS,18.13,18.13
HILTON,36.32,36.32
INSECTICID,13.71,13.71
KMSUGAR,4.80,4.80
NAVINFLUOR,58.32,57.83
TIMETECHNO,18.24,18.24
NAGREEKEXP,25.52,25.52
NELCAST,25.20,25.20
V2RETAIL,51.78,59.90
DLF,61.47,66.44
TARMAT,20.20,20.20
SPARC,5.56,5.52
SIGMAADV,36.43,35.46
ADSL,16.92,16.68
ALPA,10.07,10.31
CENTRALBK,6.49,6.57
ASIANTILES,146.37,146.37
TAKE,93.25,93.25
KPRMILL,45.28,45.28
CIEINDIA,20.53,20.53
PURVA,90.83,90.83
MOTILALOFS,30.70,30.70
INDOWIND,,219.87
NAGREEKCAP,4.11,4.11
KSCL,15.76,15.76
CENTUM,445.72,94.48
POWERGRID,16.47,16.47
CCCL,11.13,
SUPREMEINF,0.14,
MAANALU,56.64,56.64
IL&FSENGG,710.68,122.95
DELTACORP,20.58,19.97
BAJAJELEC,,89.89
ENERGYDEV,,15.37
CERA,40.18,39.66
RELIGARE,123.74,123.74
BVCL,332.29,332.29
ADANIPORTS,33.74,33.27
EDELWEISS,17.50,15.12
RGL,14.37,13.05
KAUSHALYA,125.33,125.33
COLPAL,42.63,42.04
JYOTHYLAB,20.93,20.93
MADHAV,335.98,335.98
KALYANIFRG,25.19,25.19
HITECHCORP,35.62,32.93
ECLERX,19.99,19.99
TARIL,36.82,36.82
BRIGADE,23.25,22.89
MANAKSIA,7.14,7.14
PATINTLOG,11.56,11.56
PPAP,8.15,588.98
ARIES,10.44,10.44
AMBIKCO,13.98,13.98
KAVDEFENCE,304.44,304.44
CEATLTD,23.24,21.41
BIRLAMONEY,13.68,13.14
RPOWER,,167.55
JKIL,9.91,9.70
CORDSCABLE,12.97,12.97
KNRCON,8.56,8.56
SEPC,23.96,23.48
BANG,6.82,5.25
IRB,29.09,27.67
NMDC,10.00,10.00
GSS,,15.24
NAHARCAP,23.28,23.28
RECLTD,5.75,5.75
VGUARD,43.17,41.13
NESCO,19.52,19.52
DPSCLTD,56.15,56.15
TITAGARH,56.82,56.82
KIRIINDUS,0.46,4.95
BAJAJFINSV,15.35,15.15
BAJAJ-AUTO,28.22,28.13
DIGISPICE,21.74,20.29
GOKUL,22.14,22.14
RPGLIFE,35.04,36.01
ALMONDZ,19.51,19.51
ARCHIDPLY,19.84,18.08
LOTUSEYE,3187.48,3055.61
VINYLINDIA,28.80,28.80
UBL,86.90,98.86
LPDC,57.19,57.19
ZFCVINDIA,52.37,51.78
20MICRONS,10.26,10.22
JOCIL,15.41,15.41
ALKALI,154.65,154.65
COUNCODOS,66.09,66.09
TPHQ,533.12,533.12
TATACAP,38.93,38.61
MAWANASUG,11.67,9.95
AJMERA,16.26,16.26
MHRIL,69.40,76.97
VINATIORGA,31.65,31.65
LANDSMILL,97.49,97.49
ADANIPOWER,32.42,32.42
NHPC,18.79,18.79
GLOBUSSPR,28.38,28.38
OIL,10.71,10.71
EXPLEOSOL,10.31,9.62
RTNPOWER,91.14,91.14
AMRUTANJAN,26.86,24.04
SUNTECK,23.98,23.98
ZYDUSWELL,92.91,74.63
DEN,8.34,8.34
SHILPAMED,47.97,54.31
SARDAEN,16.41,16.56
REFEX,20.42,20.42
GILLANDERS,20.28,20.28
AHLUCONT,21.45,21.56
DLINKINDIA,18.19,18.19
JSWENERGY,36.27,35.24
GODREJPROP,31.75,32.10
DBCORP,10.67,10.67
HINDCOPPER,52.04,52.04
BEARDSELL,9.97,9.97
MMTC,46.14,
NESTLEIND,80.07,82.66
TRF,,36.78
WHIRLPOOL,34.47,32.26
UNITEDTEA,11.08,11.08
JUBLFOOD,81.89,79.31
VASCONEQ,15.12,15.12
THANGAMAYL,56.33,56.06
EMMBI,22.27,20.14
DBREALTY,85.31,631.95
HATHWAY,25.67,25.67
TEXMOPIPES,9.20,9.20
MANINFRA,21.27,21.27
LGBBROSLTD,16.02,16.12
PERSISTENT,41.32,39.88
ASIANHOTNR,,534.26
ISFT,9.38,9.38
KIRLOSBROS,40.81,37.35
KSL,14.62,14.30
SJVN,43.71,43.71
SUNDARAM,19.23,22.12
KIRLOSIND,11.87,11.61
MANAPPURAM,32.36,32.36
UMESLTD,51.58,48.53
TI,542.51,44.20
HMVL,8.09,6.72
IMFA,17.27,17.27
BLISSGVS,40.29,39.81
AHLWEST,10.59,8.03
AHLEAST,,23.30
BAJAJCON,42.60,42.65
UGARSUGAR,33.62,33.62
PRAKASHSTL,87.63,87.63
