SYMBOL,SYMBOL P/E,ADJUSTED P/E
GOKUL,21.04,21.04
RPGLIFE,42.18,43.33
ALMONDZ,18.56,18.56
ARCHIDPLY,20.66,18.83
LOTUSEYE,3079.62,2952.21
VINYLINDIA,26.97,26.97
UBL,89.45,101.77
LPDC,54.76,54.76
ZFCVINDIA,52.90,52.29
20MICRONS,10.72,10.67
JOCIL,15.83,15.83
ALKALI,67.98,67.98
COUNCODOS,83.59,83.59
TPHQ,444.26,444.26
TATACAP,37.75,37.44
MAWANASUG,11.61,9.91
AJMERA,15.38,15.38
MHRIL,85.28,97.87
VINATIORGA,30.37,30.37
LANDSMILL,92.55,92.55
ADANIPOWER,28.58,28.58
NHPC,18.91,18.91
GLOBUSSPR,24.98,24.98
OIL,11.38,11.38
EXPLEOSOL,10.03,9.36
RTNPOWER,41.60,41.60
AMRUTANJAN,25.41,22.74
SUNTECK,21.42,21.42
ZYDUSWELL,90.84,72.98
DEN,8.92,8.92
SHILPAMED,48.49,54.89
SARDAEN,16.64,16.80
REFEX,18.60,18.60
GILLANDERS,19.84,19.84
AHLUCONT,20.81,20.92
DLINKINDIA,15.43,15.43
JSWENERGY,41.31,39.99
GODREJPROP,31.53,31.87
DBCORP,10.57,10.57
HINDCOPPER,50.75,50.75
BEARDSELL,9.53,9.53
MMTC,43.52,
NESTLEIND,72.10,74.15
TRF,,47.72
WHIRLPOOL,33.14,31.02
UNITEDTEA,10.70,10.70
JUBLFOOD,75.28,72.91
VASCONEQ,15.08,15.08
THANGAMAYL,61.04,60.75
EMMBI,21.35,19.30
DBREALTY,85.07,630.16
HATHWAY,25.92,25.92
TEXMOPIPES,9.04,9.04
MANINFRA,20.12,20.12
LGBBROSLTD,15.41,15.51
PERSISTENT,43.99,42.46
ASIANHOTNR,,483.42
ISFT,9.37,9.37
KIRLOSBROS,40.37,36.94
KSL,15.12,14.78
SJVN,41.14,41.14
SUNDARAM,19.08,21.95
KIRLOSIND,11.17,10.93
MANAPPURAM,33.38,33.38
UMESLTD,47.37,44.57
TI,531.33,43.29
HMVL,8.28,6.88
IMFA,17.02,17.02
BLISSGVS,36.57,36.14
AHLWEST,10.31,7.81
AHLEAST,,31.35
BAJAJCON,32.20,32.20
UGARSUGAR,32.83,32.83
PRAKASHSTL,83.66,83.66
GPPL,14.60,15.05
ADFFOODS,37.51,35.61
WELINV,228.87,228.87
WAAREEINDO,8.82,8.82
KILITCH,21.33,21.33
DEEPAKNTR,40.86,40.20
CPCAP,4.62,4.62
GREENPOWER,17.56,20.85
RAMKY,9.08,11.95
CANTABIL,20.95,20.95
WABAG,34.40,34.15
ASHOKA,1.31,13.89
BEDMUTHA,48.91,48.91
JWL,60.27,56.21
OBEROIRLTY,25.32,25.15
PRESTIGE,51.88,51.88
SHAH,29.55,29.55
CGCL,24.15,24.15
RESPONIND,31.62,31.51
COALINDIA,8.69,8.69
IOLCP,31.82,29.91
GRAVITA,34.64,34.64
JINDWORLD,59.79,60.72
PENIND,15.82,15.82
RPPINFRA,24.98,28.02
JAMNAAUTO,22.97,22.20
SUMEETINDS,65.19,63.58
MOIL,20.45,20.45
ZEELEARN,6.82,14.17
A2ZINFRA,42.24,36.93
KIRLOSENG,56.94,54.51
RKDL,349.30,38.74
PSB,12.18,12.18
FMNL,8.57,8.57
SURANASOL,20.19,20.19
SHEKHAWATI,4.61,4.61
KICL,62.91,47.20
SUMMITSEC,15.45,15.45
STEL,51.03,51.03
TEXRAIL,26.20,25.81
HFCL,49.93,49.93
LOVABLE,13.56,13.56
PFS,5.89,5.85
MUTHOOTFIN,11.30,11.30
VADILALIND,31.10,31.10
SYMPHONY,,42.42
PIIND,31.51,33.68
RELAXO,55.95,55.95
OMINFRAL,40.80,40.80
VSTTILLERS,36.12,36.13
DELPHIFX,58.43,41.29
KARMAENG,42.10,103.96
ASHIANA,32.97,32.97
DHANUKA,15.73,15.73
MAITHANALL,6.33,6.33
RUSHIL,79.20,79.20
INVENTURE,24.29,26.52
LTF,23.69,23.55
WINDMACHIN,,773.92
IBULLSLTD,14.55,12.82
BODALCHEM,17.91,17.90
GAYAPROJ,0.47,10.70
ASAHISONG,22.07,22.07
FILATEX,17.89,17.89
BROOKS,32.51,32.51
TDPOWERSYS,72.86,72.86
APLLTD,23.38,21.66
VASWANI,40.78,40.78
PGEL,84.44,84.44
PANAMAPET,14.18,14.18
PAISALO,26.91,26.84
ONELIFECAP,24.54,24.54
SHAKTIPUMP,32.14,32.14
TRITURBINE,55.46,53.79
INDOTHAI,40.55,40.55
ESSARSHPNG,,65.97
DSSL,18.63,18.63
JISLDVREQS,4.95,0.86
POLYMED,53.54,52.71
RUPA,17.90,16.90
VIKASECO,255.97,255.97
APLAPOLLO,42.07,42.07
KANANIIND,11.44,11.44
MINDACORP,58.36,58.28
THOMASCOTT,19.90,19.06
DBSTOCKBRO,38.65,38.65
IRFC,16.34,16.34
COMPUSOFT,36.66,358.22
RHIM,,43.28
SCHNEIDER,152.15,147.34
NDL,10.05,10.05
NBCC,34.14,37.08
TBZ,8.54,8.54
VSSL,19.99,19.99
SWANCORP,36.07,36.07
SPECIALITY,32.06,28.22
CINELINE,25.80,24.81
SAMPANN,19.85,19.85
PROZONER,39.31,39.31
THEJO,42.17,40.63
MAYURUNIQ,17.87,17.87
ROSSELLIND,14.01,13.82
DUCON,8.91,8.91
TVSHLTD,7.53,7.46
ZUARI,1.21,
VETO,9.45,9.45
CARERATING,29.10,29.10
